แน่ใจนะ ว่ามาถูกทาง,Karnjana,Forest
อืม ฉันจำได้ ว่ามันชอบหายมาแถวๆนี้แหละ,TapaokaewRight,
หืม งั้นฉันจะลองใช้วิชาเรียกจระเข้ดูแล้วกัน,KarnjanaLeft,
โอม มะๆ มาๆ มาสิ มาสิ เจ้าตัวเขียว หนังหนา ตะปุ่มตะปั๊ม ออกมา,Karnjana(Alone),
เออ คาถามันฟังดูแปลกๆ นะ,TapaokaewRight,
เจ้าตัวสี่ขา เจ้าตัวไร้ลิ้น ข้าเรียกเจ้า จงปรากฎกาย,KarnjanaLeft,
......,TapaokaewRight,
หากเจ้าไม่มา จงลุก จนร้อน เป็นไฟ เพี้ยง เพี้ยง,KarnjanaLeft,
(ไม่น่าจะได้ผลเลยง่ะ),TapaokaewRight,
อ๊าก ใครกัน ใครมันบังอาจ ทำเสียงอยู่ในร่างกาย,Chalawan(Alone),
อ๊ะ ได้ผลซะงั้น,Tapaokaew(Alone),
ฮึ่ม พวกแกสินะ ที่ทำให้ข้า ปวดหัว,ChalawanLeft,
ออกมาแล้วสินะ เจ้าจระเข้ วันนี้ เป็นวันสุดท้าย ที่แกจะหายใจแล้ว,KarnjanaRight,
เหอะ พูดอวดดีไปเถอะ ถึงเป็นผู้หญิง แต่ข้าไม่เลี้ยงไว้แน่ เตรียมใจไว้เถอะ,ChalawanLeft,
หึ เห็นว่าเราเป็นผู้หญิง เดี๋ยวได้เห็นดีแน่,TapaokaewRight,
ลุยกันเลย,Karnjana(Alone),
